what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396912777095
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1396912777223
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396912777269
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396912781527
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396912785357
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396912785669
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396912786301
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396912787220
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396912790548
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396912792412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396912808426
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396912868112
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396912871344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396912891690
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396912892052
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396912892927
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396912895671
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1396912900889
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396912901151
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1396912902261
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396912903654
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1396912903909
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396912904221
